word_1,word_2,human_judged,word_1_num,word_2_num,pure_bigrams,ppmi,pca_10,pca_100,pca_300
cord,smile,0.02,5000,1927,0.17038855027411942,0.07824357867172917,0.44429518269650825,0.05142387008950098,0.13693160740304752
rooster,voyage,0.04,5003,5018,0.0,0.0,0.6563140904518882,0.021270530987826976,-0.07066030199308741
noon,string,0.04,4065,5017,0.2857142857142857,0.030977851709564276,0.9093853232830814,-0.008926524482803504,0.05262460047126925
fruit,furnace,0.05,3137,5012,0.32338956762082016,0.03774718641026638,0.36143358599686837,-0.09771865535723355,-0.023959291389924156
autograph,shore,0.06,5004,1826,0.0,0.0,-0.009474816109671769,-0.021005775999086415,-0.03247519946942851
automobile,wizard,0.11,2210,5001,0.0,0.0,0.13298432974678093,0.03928655294143453,-0.020122185321402412
mound,stove,0.14,5014,5021,0.12126781251816648,0.055919103102287496,0.8520768522989933,-0.011315263188916309,0.06696935178993633
grin,implement,0.18,5011,5029,0.0,0.0,-0.017911286417268163,-0.03568594515171678,-0.0400185626841493
asylum,fruit,0.19,5026,3137,0.0,0.0,0.5855029141272436,0.09286644266907966,0.01131244737510236
asylum,monk,0.39,5026,5006,0.2581988897471611,0.17521696290467367,-0.0020458800658740145,0.2262864600047808,0.20596500718834157
graveyard,madhouse,0.42,5022,5009,0.0,0.0,0.7584122644460001,-0.04544305342378572,-0.010336415613288009
glass,magician,0.44,1078,5027,0.16910636171603033,0.003909731465638165,0.30375220604222414,0.0341702975066287,0.012758786308571222
boy,rooster,0.44,389,5003,0.4394690514817857,0.023697858632654573,-0.29536364748245425,-0.21270136248697227,-0.1523481239415024
cushion,jewel,0.45,5016,5002,0.0,0.0,0.4942824452546079,0.016141347948671156,-0.004389800260745265
monk,slave,0.57,5006,3578,0.0761386987626881,0.04126631350576816,0.5849395385164653,0.20764219231781111,0.1061666700912477
asylum,cemetery,0.79,5026,5030,0.0,0.0,0.11571657347995837,-0.024522536228701954,-0.06272605276663765
coast,forest,0.85,1804,1657,0.2573488186153186,0.01641538330567572,0.517876746265671,0.05281352748949163,0.06781728864511058
grin,lad,0.88,5011,5008,0.0,0.0,0.16069406598173933,-0.06112306643215921,-0.06874129880571007
shore,woodland,0.9,1826,5025,0.3922322702763681,0.08584775990129158,-0.23554675615063556,0.33671648822927575,0.21476215620258754
monk,oracle,0.91,5006,5005,0.0,0.0,-0.2937696309673645,-0.07469732628684364,-0.07142615787232091
boy,sage,0.96,389,5020,0.020716769761626043,0.0,-0.33679930924265805,-0.33548667066491317,-0.16689835470940506
automobile,cushion,0.97,2210,5016,0.11512943346800043,0.004774293547138567,0.2537697180196254,-0.0742059628124446,-0.06477700798658302
mound,shore,0.97,5014,1826,0.14708710135363803,0.0019488181180515856,-0.2651966980407693,-0.04731877189245169,-0.028698704699089007
lad,wizard,0.99,5008,5001,0.0,0.0,0.2447861231523783,-0.04403332410686185,-0.042265740671665795
forest,graveyard,1.0,1657,5022,0.03580574370197164,0.0,-0.0419129937825221,-0.16145404570820251,-0.1041663903013483
food,rooster,1.09,682,5003,0.7307692307692307,0.05147305798792913,-0.3528024808385026,-0.1268712951306103,-0.07176741711170317
cemetery,woodland,1.18,5030,5025,0.0,0.0,0.11571657347995837,-0.024522536228702107,-0.06272605276663717
shore,voyage,1.22,1826,5018,0.4167467871686411,0.04389181230877747,-0.17805329661956382,0.18752845877745364,0.07358054244383358
bird,woodland,1.24,3447,5025,0.0,0.0,0.4243193221685959,-0.025078142670273182,-0.03464056781052133
coast,hill,1.26,1804,1493,0.28138992679357017,0.06078991251190558,-0.1484492033322178,0.08470650203399165,0.07813633607479271
furnace,implement,1.37,5012,5029,0.1386750490563073,0.02845522110338792,-0.1551650275928686,0.009648251882623792,0.03950143049861071
crane,rooster,1.41,5007,5003,0.0,0.0,0.7808029985378142,0.2058923701826671,0.14626117233558053
